address,name,symbol,decimals
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8
0x85b4d9c887F10c1200a858432fF11a17a26fd977,Global Risk Exchange Token,GRE,18
0xBAb165dF9455AA0F2AeD1f2565520B91DDadB4c8,EDUCare,EKT,8
0x4824A7b64E3966B0133f4f4FFB1b9D6bEb75FFF7,TokenClub Token,TCT,18
0x5003B168b457B663c3c18FFcF5B6a24bEe8f59C7,Musk Token,MUSK,18
0x8d6DF35BD383033Ad6E4A050F8eAbf3677B540F6,geek chain token,GCT,18
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,AIT,AIT,18
0x57838fF342f36A1EC18224981ea8715a4667fB3a,QUBE,QUBE,18
0x6ea6531b603F270d23d9EDd2d8279135DC5D6773,InsurChain Coin,INSUR,18
0x366fA8bE925e65e1D1bb1b0f8043FD70DF3925F3,CoinView Token,CVT,18
0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,BCDN,BCDN,15
0x13d0bf45e5F319Fa0B58900807049f23caE7C40D,阅读币,READ,8
0xfa05A73FfE78ef8f1a739473e462c54bae6567D9,Lunyr Token,LUN,18
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,Gamechain System,GCS,8
0x9B20DaBcec77f6289113E61893F7BEeFAEB1990a,Fair Token,FAIR,18
0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e,ELF Token,ELF,18
0xFA1a856Cfa3409CFa145Fa4e20Eb270dF3EB21ab,IOSToken,IOST,18
0x36905Fc93280f52362A1CBAB151F25DC46742Fb5,BTOCoin,BTO,18
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,AIT,AIT,18
0x02C4C78C462E32cCa4a90Bc499bF411Fb7bc6aFB,InvestDigital Token,IDT,18
0x61f33Da40594cEc1E3Dc900FaF99F861D01e2e7D,Cybereits Token,CRE,18
0x264Dc2DedCdcbb897561A57CBa5085CA416fb7b4,QunQunCommunities,QUN,18
0x647F274b3a7248D6CF51b35f08E7E7fD6EdFb271,Maggie Token,MAG,0
0x6EC8a24CaBdc339A06a172F8223ea557055aDAa5,Genaro X,GNX,9
0x57838fF342f36A1EC18224981ea8715a4667fB3a,QUBE,QUBE,18
0xf2EAb3A2034D3f6B63734D2E08262040E3fF7B48,CANDY,CANDY,18
0x6ea6531b603F270d23d9EDd2d8279135DC5D6773,InsurChain Coin,INSUR,18
0x69b148395Ce0015C13e36BFfBAd63f49EF874E03,Data Token,DTA,18
0x366fA8bE925e65e1D1bb1b0f8043FD70DF3925F3,CoinView Token,CVT,18
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,Gamechain System,GCS,8
0xAa0bb10CEc1fa372eb3Abc17C933FC6ba863DD9E,Hms Token,HMC,18
0x6EC8a24CaBdc339A06a172F8223ea557055aDAa5,Genaro X,GNX,9
0x264Dc2DedCdcbb897561A57CBa5085CA416fb7b4,QunQunCommunities,QUN,18
0x6EC8a24CaBdc339A06a172F8223ea557055aDAa5,Genaro X,GNX,9
0x58b6A8A3302369DAEc383334672404Ee733aB239,Livepeer Token,LPT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x442Bc47357919446eAbC18C7211E57a13d983469,Chatcoin,CHAT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x442Bc47357919446eAbC18C7211E57a13d983469,Chatcoin,CHAT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x442Bc47357919446eAbC18C7211E57a13d983469,Chatcoin,CHAT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x442Bc47357919446eAbC18C7211E57a13d983469,Chatcoin,CHAT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x442Bc47357919446eAbC18C7211E57a13d983469,Chatcoin,CHAT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,Bancor Network Token,BNT,18
0x744d70FDBE2Ba4CF95131626614a1763DF805B9E,Status Network Token,SNT,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
0x9a642d6b3368ddc662CA244bAdf32cDA716005BC,Qtum,QTUM,18
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,18
